sensor_id,cv,volatility_tier
1,1.0313240579362961,high
2,1.0762323591731187,high
3,0.8566215484367146,low
4,0.8722405765201865,low
5,0.9047733483747078,medium
6,1.0770503233580382,high
8,0.8738216814192002,medium
9,1.4723344459365844,high
10,1.1901289656480405,high
11,1.4660535006680955,high
12,1.1230335178653534,high
14,0.9091879307446544,medium
17,1.0866352761983504,high
18,1.216601560399992,high
19,0.8671350080409065,low
20,0.9110882421410178,medium
21,0.861481385888648,low
23,0.9501849631454485,medium
24,0.8206187367690141,low
25,0.9850339297589454,medium
27,0.8728090711127411,low
29,1.3787207462211883,high
30,0.741416672751859,low
31,0.9185036337045448,medium
35,0.8410713395893202,low
36,0.8061248139256099,low
37,1.0234803760114441,high
39,1.035329128580785,high
40,0.9214873099157853,medium
41,0.8519164573699082,low
42,1.3083038847002821,high
43,1.1574070903474951,high
44,0.9584958081384288,medium
45,0.834940618840822,low
46,0.9606671222925892,medium
47,0.8337733874002324,low
48,0.756018199862807,low
49,0.8496884368810205,low
50,0.8526689901512872,low
51,0.7410602039077658,low
52,0.8179571738786641,low
53,0.9527247559626447,medium
54,0.9307178213074571,medium
56,0.79271240922649,low
58,0.8043152137384505,low
59,1.1314764548432286,high
61,0.9361977287674117,medium
62,0.8032863412440496,low
63,0.8891177074254082,medium
66,0.8964101418501966,medium
67,0.8254546721370548,low
68,0.8771842127154148,medium
69,0.9616955139930855,medium
70,0.7804593071754314,low
71,0.96596644829246,medium
72,0.9271961413379639,medium
75,0.8482337274218154,low
76,0.7167794247455008,low
77,1.334594052403283,high
79,0.7615081384931653,low
84,0.7621338460851192,low
85,0.7394538427884901,low
86,0.7062493093049199,low
87,0.812777898038127,low
107,0.8014522364693628,low
108,1.188815282171952,high
109,0.9009908523994551,medium
117,0.8704770160929706,low
118,0.7632923419165197,low
123,1.115973721063918,high
124,1.3779279288833455,high
130,0.8814175962328119,medium
131,0.7038644524568658,low
132,0.693430415397333,low
133,0.6706978958820935,low
134,0.6899736331927782,low
135,0.8395940829540206,low
136,2.3236025774349525,high
137,1.1919131048376466,high
138,0.842932787742682,low
139,1.072226432298364,high
140,0.46032271889879744,low
141,0.6957761226913616,low
142,0.9597241135779664,medium
143,0.7951281242765055,low
161,1.8116977325436845,high
162,0.9333872086368306,medium
164,0.7731556699222913,low
165,0.7644719227844448,low
166,0.8249064256746886,low
167,0.9239491631792289,medium
179,0.6709782182198689,low
180,0.7737833475394131,low
181,0.7332805426163266,low
182,0.6632690158102263,low
184,0.9103690312703256,medium
185,0.7963875409142214,low
187,1.0072769146282814,high
188,1.1437730862687612,high
209,0.7711582189113891,low
